id,name,now_cost,position,team,chance_of_playing_this_round,starts,total_points,news_added,form,expected_goal_involvements,cost_change_event_fall,direct_freekicks_order,goals_scored,form_rank_type,selected_by_percent,expected_assists,in_dreamteam,saves,value_season,creativity,expected_goals_per_90,bps,status,ep_next,expected_goal_involvements_per_90,selected_rank,web_name,penalties_saved,influence_rank_type,own_goals,cost_change_start_fall,creativity_rank_type,transfers_in_event,points_per_game_rank_type,chance_of_playing_next_round,transfers_out_event,event_points,threat_rank_type,expected_goals_conceded_per_90,transfers_out,now_cost_rank,penalties_missed,starts_per_90,expected_goals_conceded,influence,yellow_cards,expected_goals,value_form,ict_index_rank_type,clean_sheets,ep_this,transfers_in,minutes,expected_assists_per_90,news,bonus,goals_conceded,corners_and_indirect_freekicks_order,threat_rank,now_cost_rank_type,goals_conceded_per_90,points_per_game_rank,penalties_order,ict_index_rank,cost_change_event,cost_change_start,selected_rank_type,red_cards,form_rank,creativity_rank,threat,points_per_game,saves_per_90,ict_index,clean_sheets_per_90,influence_rank,assists,dreamteam_count
1,Folarin Balogun,44,FWD,Arsenal,0.0,0,0,2023-08-31T08:55:15.272751Z,0.0,0.00,0,,0,57,0.2,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,303,Balogun,0,57,0,1,60,0,63,0.0,291,0,59,0.0,59307,525,0,0.0,0.00,0.0,0,0.00,0.0,59,0,0.0,10024,0,0.0,Transferred to Monaco,0,0,,570,92,0.0,606,,600,0,-1,47,0,550,584,0.0,0.0,0.0,0.0,0.0,593,0,0
2,Cédric Alves Soares,39,DEF,Arsenal,,0,0,,0.0,0.00,0,,0,119,0.4,0.00,False,0,0.0,0.0,0.0,0,a,0.5,0.0,248,Cédric,0,160,0,1,157,798,156,,798,0,147,0.0,28927,712,0,0.0,0.00,0.0,0,0.00,0.0,159,0,1.0,27082,0,0.0,,0,0,,411,226,0.0,466,,461,0,-1,96,0,384,436,0.0,0.0,0.0,0.0,0.0,455,0,0
3,Mohamed Elneny,44,MID,Arsenal,100.0,0,4,2023-08-11T13:00:06.079379Z,1.0,0.00,0,,0,115,0.1,0.00,False,0,0.9,0.5,0.0,12,a,1.5,0.0,400,M.Elneny,0,206,0,1,208,395,31,100.0,423,0,197,0.0,14176,493,0,0.0,0.00,1.8,0,0.00,0.2,207,0,2.0,11449,1,0.0,,0,0,,395,282,0.0,57,,443,0,-1,129,0,245,417,2.0,4.0,0.0,0.4,0.0,441,1,0
4,Fábio Ferreira Vieira,54,MID,Arsenal,100.0,2,21,2023-11-12T02:00:08.552136Z,1.2,1.55,0,,1,114,0.1,0.35,False,0,3.9,63.6,0.46,62,s,0.0,0.59,391,Fábio Vieira,0,102,0,1,112,37,78,0.0,926,-2,91,0.56,15554,126,0,0.76,1.48,79.4,0,1.20,0.2,110,1,2.2,11345,236,0.13,Suspended until 09 Dec,0,2,5.0,149,81,0.76,179,4.0,225,0,-1,128,1,241,190,77.0,2.6,0.0,21.9,0.38,255,3,0
5,Gabriel dos Santos Magalhães,48,DEF,Arsenal,100.0,8,29,2023-09-30T23:00:07.672676Z,1.2,0.45,0,,0,77,14.9,0.11,False,0,6.0,26.6,0.04,142,a,1.7,0.05,23,Gabriel,0,65,0,2,102,18710,49,100.0,16224,2,52,0.91,2272378,302,0,0.97,7.50,137.8,1,0.34,0.3,73,3,2.2,854175,744,0.01,,2,7,,208,35,0.85,145,,234,0,-2,7,0,235,304,46.0,2.9,0.0,21.1,0.36,164,0,0
6,Kai Havertz,71,MID,Arsenal,,8,25,,1.5,2.99,0,,1,107,1.5,0.69,False,0,3.5,129.8,0.29,64,a,2.0,0.38,146,Havertz,0,93,0,4,64,1103,100,,2113,1,41,0.79,347841,28,0,1.01,6.22,96.4,4,2.30,0.2,64,3,2.5,38479,711,0.09,,0,6,,67,16,0.76,230,3.0,112,0,-4,44,0,225,89,147.0,2.1,0.0,37.3,0.38,235,1,0
8,Gabriel Fernando de Jesus,78,FWD,Arsenal,25.0,4,18,2023-10-24T23:30:07.618920Z,0.5,2.01,0,,1,43,1.9,0.30,False,0,2.3,58.7,0.43,51,d,0.5,0.5,132,G.Jesus,0,33,0,2,33,671,24,50.0,5141,0,25,1.05,518707,15,0,0.99,4.22,67.8,2,1.71,0.1,30,2,0.4,401766,362,0.07,Hamstring injury - 50% chance of playing,2,4,,70,6,0.99,182,,194,0,-2,22,0,337,210,144.0,2.6,0.0,26.9,0.5,276,1,0
9,Jorge Luiz Frello Filho,53,MID,Arsenal,100.0,4,13,2023-08-07T15:30:05.168632Z,1.5,0.39,0,,0,103,0.2,0.30,False,0,2.5,64.7,0.02,60,a,2.0,0.09,326,Jorginho,0,130,0,2,111,389,149,100.0,291,2,181,1.11,15006,132,0,0.94,4.68,49.6,1,0.09,0.3,139,1,2.5,7286,381,0.07,,0,6,,356,83,1.42,318,,309,0,-2,97,0,220,187,9.0,1.4,0.0,12.3,0.24,304,0,0
10,Jakub Kiwior,43,DEF,Arsenal,,2,9,,1.8,0.37,0,,0,52,0.1,0.05,False,0,2.1,6.4,0.16,42,a,2.3,0.18,422,Kiwior,0,136,0,2,137,110,73,,166,1,105,0.43,7356,597,0,0.99,0.87,29.4,0,0.32,0.4,134,1,2.8,3697,182,0.02,,0,2,,314,153,0.99,213,,373,0,-2,163,0,174,376,16.0,2.2,0.0,5.3,0.49,353,0,0
11,Marcus Oliveira Alencar,45,MID,Arsenal,0.0,0,0,2023-08-14T03:57:12.475590Z,0.0,0.00,0,,0,239,0.0,0.00,False,0,0.0,0.0,0.0,0,u,0.0,0.0,514,Marquinhos,0,262,0,0,263,0,269,0.0,52,0,258,0.0,11421,427,0,0.0,0.00,0.0,0,0.00,0.0,266,0,0.0,819,0,0.0,Season long loan to FC Nantes,0,0,,638,246,0.0,662,,658,0,0,178,0,615,648,0.0,0.0,0.0,0.0,0.0,652,0,0
